feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
-1.6778341066856801,4.124497573882102,1.903624465051388,0.3132861762476321,-5.343350478340731,-2.7476031971025963,-3.824291469497381,2.5514457652481424,0.6992702381559408,1.5397985878457392,0
-1.767064170571981,2.94818787735303,1.8612958485294842,1.4220916779468677,-1.574937627927082,-3.152811535782155,-4.330113419302017,3.286208391101296,0.5737974258091658,2.7710426427541988,0
-1.0425476871839896,4.0440660458555735,1.5756233226890166,0.8687277826395859,-3.8286369920447845,-3.44408246837086,-4.58634443627661,3.9454460941127496,0.08936802540544586,2.876365416030197,0
0.7697158791326326,5.376844351564126,2.4792421131341458,1.6290472996195002,-4.175046182091197,-4.593663367077254,-3.855435782692659,3.2696645071655284,0.029943098890351072,1.439115631924099,0
-2.0783337919612994,4.6050896805829264,2.744081589093685,1.633409811470772,-2.7881915331607883,-2.8899536706958404,-4.5701076159278635,3.20748779200842,-0.0877098073267013,2.8819427374345823,0
-1.3840967258035717,4.208132496121287,3.1794959517628882,0.3321389606341514,-2.8315708937745665,-3.2239763497528595,-5.175340102528217,3.606529872117165,1.7200638882708108,2.660406887072012,0
-0.16500614081164322,4.753546282986622,4.777037932706312,0.31597623884323967,-3.730266664434109,-3.484401155225355,-5.4528837481642745,4.421334286407229,1.6694755353769297,2.09456966406013,0
-1.6439815275563414,3.4178275446625976,1.7448756273846147,1.528462468728268,-3.5943971418998335,-3.751076901719286,-4.05380216099874,4.505631180487805,1.1984887828332902,2.3098839275193574,0
-0.25504237963061216,4.635053456712001,2.09458779687612,1.477032758941305,-3.6267976542909053,-3.7080573600021713,-3.491105146032738,3.4490409789226746,-0.9234453723422784,2.3324746051226732,0
-1.5427771958037386,4.296474223903955,2.649954663344509,0.8655907238520547,-3.283206393706565,-4.913539521786051,-5.106287223655491,4.684703889808427,0.9976337621708846,0.8613887412356043,0
-2.036059329537112,3.783931980733179,2.394511258738758,0.6713801444322403,-3.9201023170722493,-3.4371860258828852,-4.071066083886082,3.4730298486742868,0.5924095815640589,1.7736167420960562,0
-1.0070008772012529,4.501765791729695,2.8790017841826625,0.148831150783734,-4.004733475377943,-2.876734404328702,-5.003385979426254,4.670173148597878,2.0350008144333636,3.0951922670935987,0
-1.8962450621402611,4.563169714706624,1.9604181519235433,1.6592130166880312,-2.1963592305655792,-2.803546289055698,-4.412501190153866,3.395424814784955,1.484083076649223,1.1897243580028483,0
-0.8638174657086571,3.840687462490589,2.7720788462656243,0.8693237949293949,-3.7227080408571047,-4.085250525230329,-4.6790929020390175,4.0669589677963005,1.7717204124562171,2.4643026934921783,0
-0.2608535112391651,6.357209745442427,2.083511124003607,0.8365876985594454,-4.489046354485806,-2.572475571018362,-3.4724066120304986,3.0299475921459473,1.461171198001407,2.967499246986911,0
-1.0897222618290034,5.124570669698226,2.447325004004955,0.09996868383338575,-2.67524556090489,-2.4745657328931063,-3.883996935751106,2.966302450544518,0.4638311069658333,1.2570813288143312,0
-0.6935833831454895,5.431308017896257,2.629225566569802,1.6718711913668662,-4.071988076419316,-3.333777971002668,-5.417269585970689,3.099432056490075,1.651362989521697,1.906154131251077,0
-0.3734275204356028,4.899107656344022,4.312274646098016,1.0549035428848195,-4.464538599848368,-3.4652135491078053,-5.120829475399372,4.373747400830398,1.041737333469484,1.9807077627805332,0
